time,symbol,trade_price,trade_size,trade_side
2018-10-10T17:44:01.211682Z,ES,193925,1,B
2018-10-10T17:44:02.370266Z,ES,193925,6,B
2018-10-10T17:44:03.201396Z,ES,193925,5,A
2018-10-10T17:44:04.356622Z,ES,193925,6,A
2018-10-10T17:44:04.802138Z,ES,193900,1,B
2018-10-10T17:44:04.973854Z,VX,2515,1,B
2018-10-10T17:44:07.166426Z,ES,193925,4,A
2018-10-10T17:44:08.111430Z,ES,193950,3,A
2018-10-10T17:44:09.881931Z,VX,2520,1,A
2018-10-10T17:44:12.112411Z,ES,193950,1,A
2018-10-10T17:44:12.379757Z,ES,193925,2,B
2018-10-10T17:44:12.711858Z,ES,193950,6,A
2018-10-10T17:44:13.767795Z,ES,193950,36,A
2018-10-10T17:44:14.580678Z,ES,193925,1,B
2018-10-10T17:44:15.126854Z,ES,193950,6,A
2018-10-10T17:44:15.951950Z,ES,193975,14,A
2018-10-10T17:44:16.142456Z,VX,2520,1,A
2018-10-10T17:44:16.595412Z,ES,193950,1,B
2018-10-10T17:44:17.015620Z,VX,2515,4,A
2018-10-10T17:44:17.548968Z,ES,193950,29,B
